report_id,COUNTRY_CODE,RATE,YEAR,GENDER,AGE,exp_percentage
2,AFG,45.417099,2011,male,adult,16.048429489135742
3,AFG,52.06343079,2021,male,adult,10.880109786987305
4,ALB,99.18760681,2001,male,adult,10.581930160522461
12,DZA,82.6158371,2008,male,adult,11.428350448608398
13,DZA,87.42295837,2018,male,adult,13.77495002746582
16,AGO,79.97415161,2014,male,adult,7.132299900054932
22,ARG,97.19319916,2001,male,adult,16.355960845947266
23,ARG,98.72718811,2006,male,adult,15.50984001159668
24,ARG,98.96272278,2009,male,adult,16.02066993713379
25,ARG,98.98532104,2010,male,adult,15.047969818115234
26,ARG,99.22830963,2011,male,adult,15.158559799194336
27,ARG,99.11112976,2012,male,adult,14.51826000213623
28,ARG,99.15602875,2013,male,adult,14.457929611206055
29,ARG,99.06124878,2014,male,adult,13.79932975769043
30,ARG,99.14824677,2015,male,adult,13.963310241699219
31,ARG,99.1049881,2016,male,adult,13.35554027557373
32,ARG,98.93773651,2018,male,adult,12.523340225219727
35,ARM,99.80608368,2011,male,adult,12.593339920043945
36,ARM,99.80549622,2017,male,adult,10.403129577636719
37,ARM,99.84332275,2020,male,adult,8.682490348815918
38,ABW,97.53739929,2000,male,adult,21.8227596282959
39,ABW,96.94052887,2010,male,adult,22.143659591674805
41,AZE,99.47241974,1999,male,adult,21.60498046875
42,AZE,99.82096863,2007,male,adult,9.779370307922363
43,AZE,99.84266663,2009,male,adult,9.3439302444458
44,AZE,99.85443878,2010,male,adult,8.70083999633789
45,AZE,99.85665894,2011,male,adult,7.219860076904297
46,AZE,99.85285187,2012,male,adult,5.643670082092285
47,AZE,99.86592102,2013,male,adult,6.46412992477417
48,AZE,99.86200714,2014,male,adult,7.238729953765869
49,AZE,99.86263275,2015,male,adult,7.631100177764893
50,AZE,99.86405182,2016,male,adult,8.206899642944336
51,AZE,99.86374664,2017,male,adult,6.950399875640869
52,AZE,99.86824036,2019,male,adult,8.072150230407715
57,BGD,39.7322998,1981,male,adult,6.634029865264893
58,BGD,44.31428146,1991,male,adult,11.062100410461426
59,BGD,53.89609146,2001,male,adult,18.584779739379883
60,BGD,49.8323288,2007,male,adult,18.153400421142578
61,BGD,62.48305893,2011,male,adult,16.793970108032227
62,BGD,61.54286957,2012,male,adult,15.593239784240723
63,BGD,64.21376801,2013,male,adult,13.822819709777832
64,BGD,64.36508942,2014,male,adult,14.54640007019043
65,BGD,68.05535889,2015,male,adult,13.700460433959961
66,BGD,75.61885071,2016,male,adult,11.419280052185059
67,BGD,75.70236206,2017,male,adult,16.05497932434082
68,BGD,76.66925812,2018,male,adult,11.681480407714844
69,BGD,77.44149017,2019,male,adult,9.273750305175781
70,BGD,77.81671143,2020,male,adult,11.84475040435791
74,BRB,99.59999847,2004,male,adult,18.618139266967773
75,BRB,99.59999847,2014,male,adult,17.451059341430664
78,BLR,99.76368713,2009,male,adult,8.449549674987793
79,BLR,99.87095642,2019,male,adult,13.232150077819824
81,BLZ,76.68373108,2000,male,adult,15.612259864807129
84,BEN,47.86595917,2002,male,adult,14.129079818725586
85,BEN,40.61616898,2006,male,adult,19.709609985351562
86,BEN,44.96025848,2012,male,adult,25.021310806274414
87,BEN,53.97703171,2018,male,adult,17.70918083190918
88,BTN,65.0477829,2005,male,adult,22.995920181274414
89,BTN,66.00305939,2012,male,adult,17.523399353027344
90,BTN,75.01985168,2017,male,adult,23.457279205322266
108,BRA,86.22798157,2000,male,adult,11.452159881591797
109,BRA,88.40946198,2004,male,adult,10.412429809570312
110,BRA,89.35324097,2006,male,adult,12.426369667053223
111,BRA,89.7721405,2007,male,adult,13.222660064697266
112,BRA,89.83786774,2008,male,adult,14.083399772644043
113,BRA,90.17484283,2009,male,adult,14.726360321044922
114,BRA,90.05618286,2010,male,adult,14.159859657287598
115,BRA,91.16898346,2011,male,adult,15.269000053405762
116,BRA,91.02567291,2012,male,adult,15.72778034210205
117,BRA,91.17796326,2013,male,adult,15.5927095413208
118,BRA,91.36676788,2014,male,adult,15.443840026855469
119,BRA,91.72515869,2015,male,adult,16.218109130859375
120,BRA,92.57515717,2016,male,adult,15.92883014678955
121,BRA,92.8915329,2017,male,adult,16.50490951538086
122,BRA,93.00904083,2018,male,adult,16.148359298706055
123,BRN,85.1368103,1981,male,adult,13.070989608764648
124,BRN,92.45218658,1991,male,adult,8.22681999206543
126,BRN,97.42816162,2011,male,adult,9.18218994140625
128,BGR,98.73660278,2001,male,adult,9.277739524841309
129,BGR,98.74723053,2011,male,adult,11.10004997253418
132,BFA,18.51778984,1996,male,adult,7.340179920196533
134,BFA,31.37454987,2005,male,adult,19.494190216064453
135,BFA,29.71435928,2006,male,adult,18.20170021057129
