report_id,country_code,rate,year
215,CIV,60.86066055,2000
216,CIV,51.59267044,2012
217,CIV,50.70190048,2014
218,CIV,93.14134979,2019
219,HRV,98.75705719,1991
220,HRV,99.32058716,2001
221,HRV,99.62970734,2011
222,CUB,99.80731201,2002
223,CUB,99.70606232,2012
224,CYP,97.83058929,1992
225,CYP,98.63104248,2001
226,CYP,99.28614807,2011
227,COD,80.92324066,2001
228,COD,76.91568756,2007
229,COD,87.90838623,2012
230,COD,88.52468872,2016
231,DOM,73.59024811,1981
232,DOM,86.8110199,2002
233,DOM,88.21015167,2007
234,DOM,89.37703705,2010
235,DOM,89.98500824,2011
236,DOM,90.08482361,2012
237,DOM,90.45812988,2013
238,DOM,91.37159729,2014
239,DOM,91.65071106,2015
240,DOM,93.79360199,2016
241,ECU,86.78697205,1982
242,ECU,90.49677277,1990
243,ECU,92.32713318,2001
244,ECU,93.3891983,2007
245,ECU,93.74945068,2008
246,ECU,93.66378021,2009
247,ECU,93.31687164,2010
248,ECU,93.05252075,2011
249,ECU,93.25424194,2012
250,ECU,94.42572784,2013
251,ECU,95.25717163,2014
252,ECU,95.72621918,2015
253,ECU,95.44502258,2016
254,ECU,93.77906036,2017
255,ECU,94.81250763,2020
256,EGY,53.6151886,1976
257,EGY,56.97615814,1986
258,EGY,67.15177917,1996
259,EGY,77.91013336,2005
260,EGY,74.62180328,2006
261,EGY,80.26864624,2010
262,EGY,81.67922211,2012
263,EGY,81.69406128,2013
264,EGY,76.49521637,2017
265,SLV,77.37241364,1992
266,SLV,86.69534302,2006
267,SLV,84.86406708,2007
268,SLV,87.05467987,2008
269,SLV,86.82521057,2009
270,SLV,87.09970093,2010
271,SLV,88.39164734,2011
272,SLV,89.23500824,2013
273,SLV,90.0099411,2015
274,SLV,90.29927063,2016
275,SLV,90.63137817,2017
276,SLV,91.1023407,2018
277,SLV,91.30619812,2019
278,GNQ,94.84261322,2000
279,GNQ,97.18399811,2010
280,ERI,65.39012146,2002
281,ERI,75.07241058,2008
282,ERI,84.37323761,2018
283,EST,99.87597656,1989
284,EST,99.77594757,2000
285,EST,99.85897827,2011
286,SWZ,57.38439178,1976
287,SWZ,69.68347168,1986
288,SWZ,83.15461731,2000
289,SWZ,83.90014648,2010
290,SWZ,88.2875824,2018
291,ETH,35.98252869,1994
292,ETH,50,2004
293,ETH,41.9366188,2005
294,ETH,49.13465881,2007
295,ETH,59.24145889,2017
296,GAB,79.44418335,1993
297,GAB,84.87329865,2012
298,GAB,85.85234833,2018
299,GMB,48.98115158,2000
300,GMB,51.41804123,2013
301,GMB,61.76725006,2015
302,GEO,99.76898193,2002
303,GEO,99.66821289,2014
304,GEO,99.43752289,2017
305,GEO,99.68112183,2019
306,GHA,66.35128021,2000
307,GHA,78.34890747,2010
308,GHA,83.52458191,2018
309,GRC,96.063797,1981
310,GRC,96.03746033,1991
311,GRC,97.81121826,2001
312,GRC,95.45005798,2005
313,GRC,96.15756989,2007
314,GRC,96.06622314,2009
315,GRC,98.2821579,2011
316,GRC,98.50704956,2018
317,GRD,98.04715729,1970
318,GRD,98.58000183,1984
319,GRD,98.58000183,1994
320,GRD,98.58000183,2004
321,GRD,98.58000183,2014
322,GUM,96.38265991,1980
323,GUM,99.41710663,1990
324,GTM,71.70639038,1994
325,GTM,75.41558075,2002
326,GTM,84.84873199,2012
327,GTM,82.72068024,2013
328,GTM,86.75615692,2014
329,GTM,85.34117889,2018
330,GIN,32.89533997,1996
331,GIN,42.9031601,2003
332,GIN,36.78979111,2010
333,GIN,43.64009094,2014
334,GIN,54.43117142,2018
335,GNB,33.34894943,1979
336,GNB,57.61375046,2000
337,GNB,62.15797043,2014
338,GUY,82.43656158,2009
339,GUY,86.31437683,2014
340,HTI,37.12974167,1982
341,HTI,63.09001923,2003
342,HTI,53.35504913,2006
343,HTI,65.27764893,2016
344,HND,79.78523254,2001
345,HND,83.74603271,2007
346,HND,84.78900909,2010
347,HND,85.34127808,2011
348,HND,85.69619751,2012
349,HND,85.66837311,2013
350,HND,87.39595032,2014
351,HND,87.92208099,2015
352,HND,89.04894257,2016
353,HND,87.13764191,2018
354,HND,88.24963379,2019
355,HUN,99.30319214,1980
356,HUN,99.16000366,2014
357,IND,54.84101868,1981
358,IND,61.64191818,1991
359,IND,73.4118576,2001
360,IND,75.19190216,2006
361,IND,78.87722778,2011
362,IND,82.36670685,2018
363,IDN,77.47499847,1980
364,IDN,88.02452087,1990
