COUNTRY_CODE,REPORT_COUNT,MAX_EXP,MIN_EXP,AVG_EXP
AFG,11,17.06756019592285,10.253860473632812,13.044701836325906
ALB,16,13.596960067749023,9.624070167541504,11.158460021018982
DZA,7,17.556049346923828,11.428350448608398,15.156604221888951
AND,10,13.461919784545898,6.195529937744141,10.640382003784179
AGO,16,9.86478042602539,5.255080223083496,7.389173150062561
ATG,9,12.439410209655762,6.762650012969971,8.871851126352945
ARG,23,16.442209243774414,12.523340225219727,14.879010034644086
ARM,16,14.268449783325195,8.27808952331543,11.46777606010437
ABW,17,22.854990005493164,14.897859573364258,20.56791114807129
AUS,24,15.01692008972168,12.599720001220703,13.702044486999512
AUT,28,12.150569915771484,9.740949630737305,10.83107328414917
AZE,26,41.40279006958008,5.643670082092285,12.948055083935078
BHS,8,18.765289306640625,10.11715030670166,12.136701226234436
BHR,8,11.918660163879395,7.223849773406982,9.047319829463959
BGD,35,21,5.263599872589111,13.23519367490496
BRB,21,26.88882064819336,10.77849006652832,17.672596204848517
BLR,17,16.538040161132812,8.449549674987793,12.286875276004567
BEL,20,12.472450256347656,5.828969955444336,10.406867957115173
BLZ,17,22.755779266357422,15.612259864807129,20.29519053066478
BEN,21,26.14396095275879,13.513199806213379,18.87901969183059
BMU,8,13.970430374145508,7.773469924926758,10.718653798103333
BTN,18,25.52448081970215,11.793689727783203,17.825433201260036
BWA,16,26.507789611816406,14.326910018920898,17.895016193389893
BRA,20,16.50490951538086,9.60027027130127,13.502978372573853
VGB,7,15.230569839477539,12.195460319519043,13.763637270246234
BRN,17,13.070989608764648,5.302080154418945,9.612424065085019
BGR,15,12.730950355529785,6.703000068664551,10.890493329366048
BFA,14,22.661169052124023,7.212820053100586,17.092631374086654
BDI,22,27.49724006652832,9.17908000946045,16.699865037744697
KHM,13,12.40431022644043,7.199850082397461,9.485295479114239
CMR,21,21.442020416259766,11.683699607849121,16.46995517185756
CAN,26,15.578900337219238,12.009960174560547,13.220474279843843
CPV,19,20.84048080444336,14.216899871826172,16.89375124479595
CAF,21,12.064459800720215,6.475379943847656,9.297998110453287
TCD,19,17.059980392456055,8.119279861450195,12.208345714368319
CHL,24,21.37952995300293,13.518830299377441,17.27138364315033
CHN,22,20.064939498901367,9.461580276489258,13.110592798753219
COL,25,18.0922908782959,12.475359916687012,14.881620903015136
COM,8,29.23311996459961,13.352179527282715,18.797091245651245
COG,16,24.727779388427734,6.555920124053955,13.636714190244675
CRI,26,30.322370529174805,16.743690490722656,22.010193604689377
CIV,25,23.202030181884766,14.978179931640625,20.668912963867186
HRV,10,9.460370063781738,7.530509948730469,8.54114909172058
CYP,18,17.590749740600586,13.904120445251465,15.768422391679552
CZE,22,13.971489906311035,8.382659912109375,9.753307342529297
COD,6,16.174739837646484,9.578499794006348,12.781228224436441
DNK,27,15.779339790344238,10.601300239562988,14.152598522327564
DJI,14,29.385950088500977,8.57643985748291,20.22385767527989
DMA,9,17.111600875854492,8.293609619140625,10.804361131456163
DOM,17,25.93160057067871,9.701809883117676,17.384518174564136
ECU,12,13.17257022857666,4.957300186157227,10.945267597834269
EGY,6,15.351900100708008,10.941800117492676,13.052374839782715
SLV,22,18.162519454956055,12.518819808959961,14.55937910079956
GNQ,1,5.24813985824585,5.24813985824585,5.24813985824585
ERI,7,6.250919818878174,2.9151298999786377,5.305214166641235
EST,22,19.683679580688477,11.99120044708252,14.354255112734707
SWZ,22,25.089860916137695,17.29376983642578,21.226560072465375
ETH,26,30.539539337158203,9.701319694519043,19.399404599116398
FRO,5,17.367210388183594,15.411629676818848,16.43116569519043
FJI,23,23.749149322509766,14.300390243530273,18.358294860176418
