report_id,COUNTRY_CODE,RATE,YEAR,GENDER,AGE,PERCENTAGE
75,BRB,99.59999847,2014,male,adult,100
106,BWA,86.12213898,2013,male,adult,98.63651
143,BDI,69.58728027,2014,male,adult,91.44112
149,KHM,84.81414795,2014,male,adult,100
195,COL,93.86740112,2014,male,adult,94.25102
217,CIV,50.70190048,2014,male,adult,88.27089000000001
237,DOM,90.45812988,2013,male,adult,81.26603
238,DOM,91.37159729,2014,male,adult,81.26632
263,EGY,81.69406128,2013,male,adult,83.75706
321,GRD,98.58000183,2014,male,adult,48.66962
333,GIN,43.64009094,2014,male,adult,70.69693000000001
384,IRN,89.54248047,2013,male,adult,100
385,IRN,89.63542175,2014,male,adult,100
399,JAM,83.44000244,2014,male,adult,95.66155
427,KWT,96.35418701,2013,male,adult,76.42531
450,LSO,67.74746704,2014,male,adult,75.7858
488,MDV,98.52033997,2014,male,adult,86.05711
513,MUS,94.03688812,2013,male,adult,100
514,MUS,94.76538086,2014,male,adult,100
557,MAR,75.36726379,2014,male,adult,100
635,PSE,98.26705933,2013,male,adult,43.93159
636,PSE,98.27913666,2014,male,adult,46.79377
657,PRY,94.81725311,2012,male,adult,86.61728000000001
672,PER,96.94898224,2014,male,adult,84.42413
684,PHL,96.00833893,2013,male,adult,99.43544
708,QAT,90.34342957,2013,male,adult,100
709,QAT,91.04651642,2014,male,adult,100
738,SAU,96.53143311,2013,male,adult,100
758,SLE,41.33216858,2013,male,adult,51.92808
832,TJK,99.81999969,2014,male,adult,94.05272
871,TUN,86.06011963,2014,male,adult,100
1034,BRB,99.5999984741211,2014,female,adult,100
1065,BWA,87.45121002197266,2013,female,adult,98.63651
1102,BDI,54.641658782958984,2014,female,adult,91.44112
1108,KHM,71.78179931640625,2014,female,adult,100
1154,COL,94.48465728759766,2014,female,adult,94.25102
1176,CIV,36.78424835205078,2014,female,adult,88.27089000000001
1196,DOM,91.2505111694336,2013,female,adult,81.26603
1197,DOM,92.14778900146484,2014,female,adult,81.26632
1222,EGY,62.70521926879883,2013,female,adult,83.75706
1280,GRD,98.5999984741211,2014,female,adult,48.66962
1292,GIN,21.962249755859375,2014,female,adult,70.69693000000001
1343,IRN,79.7558364868164,2013,female,adult,100
1344,IRN,79.83934783935547,2014,female,adult,100
1358,JAM,92.69999694824219,2014,female,adult,95.66155
1386,KWT,94.30116271972656,2013,female,adult,76.42531
1409,LSO,84.93489074707031,2014,female,adult,75.7858
1447,MDV,98.6916732788086,2014,female,adult,86.05711
1472,MUS,89.05094146728516,2013,female,adult,100
1473,MUS,90.28331756591797,2014,female,adult,100
1516,MAR,53.31092071533203,2014,female,adult,100
1594,PSE,93.77192687988281,2013,female,adult,43.93159
1595,PSE,94.09632873535156,2014,female,adult,46.79377
1616,PRY,93.58785247802734,2012,female,adult,86.61728000000001
1631,PER,90.44918060302734,2014,female,adult,84.42413
1643,PHL,96.78736114501953,2013,female,adult,99.43544
1667,QAT,91.72962951660156,2013,female,adult,100
1668,QAT,92.45240020751953,2014,female,adult,100
1697,SAU,91.36924743652344,2013,female,adult,100
1717,SLE,24.856679916381836,2013,female,adult,51.92808
1791,TJK,99.69999694824219,2014,female,adult,94.05272
1830,TUN,72.22377014160156,2014,female,adult,100
2019,BDI,85.29008,2014,male,young,91.44112
2061,COL,98.10670999999999,2014,male,young,94.25102
2074,CIV,59.12435,2014,male,young,88.27089000000001
2093,DOM,96.7627,2013,male,young,81.26603
2094,DOM,97.35356,2014,male,young,81.26632
2115,EGY,93.64928,2013,male,young,83.75706
2166,GIN,56.97051,2014,male,young,70.69693000000001
2209,IRN,98.10902,2013,male,young,100
2210,IRN,98.19154,2014,male,young,100
2242,KWT,99.25229,2013,male,young,76.42531
2258,LSO,79.60804,2014,male,young,75.7858
2290,MDV,99.08133000000001,2014,male,young,86.05711
2396,PSE,99.41883,2013,male,young,43.93159
2397,PSE,99.40579,2014,male,young,46.79377
2420,PER,99.15706,2014,male,young,84.42413
2428,PHL,97.42543,2013,male,young,99.43544
2446,QAT,98.82146999999999,2013,male,young,100
2447,QAT,98.38078,2014,male,young,100
2469,SAU,99.30072,2013,male,young,100
2483,SLE,64.5305,2013,male,young,51.92808
2566,TUN,96.61184,2014,male,young,100
2735,BDI,74.95891,2014,female,young,91.44112
2777,COL,98.97285,2014,female,young,94.25102
2790,CIV,47.03975,2014,female,young,88.27089000000001
2809,DOM,98.25251999999999,2013,female,young,81.26603
2810,DOM,98.04481,2014,female,young,81.26632
2831,EGY,90.3254,2013,female,young,83.75706
2882,GIN,37.21018,2014,female,young,70.69693000000001
2925,IRN,97.43798000000001,2013,female,young,100
2926,IRN,97.67817,2014,female,young,100
2958,KWT,99.04066999999999,2013,female,young,76.42531
2974,LSO,93.96988,2014,female,young,75.7858
3006,MDV,99.43955,2014,female,young,86.05711
3112,PSE,99.2749,2013,female,young,43.93159
3113,PSE,99.31944,2014,female,young,46.79377
3136,PER,98.78966,2014,female,young,84.42413
3144,PHL,98.81543,2013,female,young,99.43544
3162,QAT,99.33438000000001,2013,female,young,100
3163,QAT,99.64683000000001,2014,female,young,100
3185,SAU,99.13699,2013,female,young,100
3199,SLE,50.85709,2013,female,young,51.92808
3282,TUN,95.80119,2014,female,young,100
