report_id,country_code,rate,year,gender,age
160,CYM,98.72238922,2007,male,adult
161,CAF,29.5929203,1975,male,adult
162,CAF,48.02030182,1988,male,adult
163,CAF,66.78952789,2000,male,adult
164,CAF,50.71271133,2010,male,adult
165,CAF,49.51459122,2018,male,adult
166,TCD,18.26059914,1993,male,adult
167,TCD,40.8270607,2000,male,adult
168,TCD,39.3682518,2004,male,adult
169,TCD,38.91820145,2015,male,adult
170,TCD,31.32879066,2016,male,adult
171,CHL,91.48053741,1982,male,adult
172,CHL,94.5630722,1992,male,adult
173,CHL,95.79640961,2002,male,adult
174,CHL,97.70249939,2008,male,adult
175,CHL,97.88935852,2009,male,adult
176,CHL,96.89878082,2011,male,adult
177,CHL,96.38800812,2013,male,adult
178,CHL,97.02468872,2015,male,adult
179,CHL,96.48062897,2017,male,adult
180,CHN,79.19178009,1982,male,adult
181,CHN,87.02497864,1990,male,adult
182,CHN,95.13524628,2000,male,adult
183,CHN,97.47946167,2010,male,adult
184,CHN,98.46653748,2018,male,adult
185,COL,90.97265625,1993,male,adult
186,COL,91.0891037,1996,male,adult
187,COL,92.9041214,2004,male,adult
188,COL,92.77794647,2005,male,adult
189,COL,92.39279938,2006,male,adult
190,COL,92.42970276,2007,male,adult
191,COL,93.31687927,2008,male,adult
192,COL,93.06253815,2009,male,adult
193,COL,93.25019073,2010,male,adult
194,COL,93.48825836,2011,male,adult
195,COL,93.86740112,2014,male,adult
196,COL,94.06317139,2015,male,adult
197,COL,94.40228271,2016,male,adult
198,COL,94.85182953,2018,male,adult
199,COL,95.01589203,2019,male,adult
200,COL,95.38252258,2020,male,adult
201,COM,55.97703934,1980,male,adult
202,COM,74.51403809,2000,male,adult
203,COM,56.47980118,2012,male,adult
204,COM,64.64420319,2018,male,adult
205,COG,71.32911682,1984,male,adult
206,COG,86.04982758,2005,male,adult
207,COG,86.43431091,2011,male,adult
208,COG,86.07650757,2018,male,adult
209,CRI,92.68213654,1984,male,adult
210,CRI,94.650177,2000,male,adult
211,CRI,97.30632782,2011,male,adult
212,CRI,97.80235291,2018,male,adult
213,CIV,44.36354065,1988,male,adult
214,CIV,43.94641876,1998,male,adult
215,CIV,60.86066055,2000,male,adult
216,CIV,51.59267044,2012,male,adult
217,CIV,50.70190048,2014,male,adult
218,CIV,93.14134979,2019,male,adult
219,HRV,98.75705719,1991,male,adult
220,HRV,99.32058716,2001,male,adult
221,HRV,99.62970734,2011,male,adult
222,CUB,99.80731201,2002,male,adult
223,CUB,99.70606232,2012,male,adult
224,CYP,97.83058929,1992,male,adult
225,CYP,98.63104248,2001,male,adult
226,CYP,99.28614807,2011,male,adult
227,COD,80.92324066,2001,male,adult
228,COD,76.91568756,2007,male,adult
229,COD,87.90838623,2012,male,adult
230,COD,88.52468872,2016,male,adult
231,DOM,73.59024811,1981,male,adult
232,DOM,86.8110199,2002,male,adult
233,DOM,88.21015167,2007,male,adult
234,DOM,89.37703705,2010,male,adult
235,DOM,89.98500824,2011,male,adult
236,DOM,90.08482361,2012,male,adult
237,DOM,90.45812988,2013,male,adult
238,DOM,91.37159729,2014,male,adult
239,DOM,91.65071106,2015,male,adult
240,DOM,93.79360199,2016,male,adult
241,ECU,86.78697205,1982,male,adult
242,ECU,90.49677277,1990,male,adult
243,ECU,92.32713318,2001,male,adult
244,ECU,93.3891983,2007,male,adult
245,ECU,93.74945068,2008,male,adult
246,ECU,93.66378021,2009,male,adult
247,ECU,93.31687164,2010,male,adult
248,ECU,93.05252075,2011,male,adult
249,ECU,93.25424194,2012,male,adult
250,ECU,94.42572784,2013,male,adult
251,ECU,95.25717163,2014,male,adult
252,ECU,95.72621918,2015,male,adult
253,ECU,95.44502258,2016,male,adult
254,ECU,93.77906036,2017,male,adult
255,ECU,94.81250763,2020,male,adult
256,EGY,53.6151886,1976,male,adult
257,EGY,56.97615814,1986,male,adult
258,EGY,67.15177917,1996,male,adult
259,EGY,77.91013336,2005,male,adult
260,EGY,74.62180328,2006,male,adult
261,EGY,80.26864624,2010,male,adult
262,EGY,81.67922211,2012,male,adult
263,EGY,81.69406128,2013,male,adult
264,EGY,76.49521637,2017,male,adult
265,SLV,77.37241364,1992,male,adult
266,SLV,86.69534302,2006,male,adult
267,SLV,84.86406708,2007,male,adult
268,SLV,87.05467987,2008,male,adult
269,SLV,86.82521057,2009,male,adult
270,SLV,87.09970093,2010,male,adult
271,SLV,88.39164734,2011,male,adult
272,SLV,89.23500824,2013,male,adult
273,SLV,90.0099411,2015,male,adult
274,SLV,90.29927063,2016,male,adult
275,SLV,90.63137817,2017,male,adult
276,SLV,91.1023407,2018,male,adult
277,SLV,91.30619812,2019,male,adult
278,GNQ,94.84261322,2000,male,adult
279,GNQ,97.18399811,2010,male,adult
280,ERI,65.39012146,2002,male,adult
281,ERI,75.07241058,2008,male,adult
282,ERI,84.37323761,2018,male,adult
283,EST,99.87597656,1989,male,adult
284,EST,99.77594757,2000,male,adult
285,EST,99.85897827,2011,male,adult
286,SWZ,57.38439178,1976,male,adult
287,SWZ,69.68347168,1986,male,adult
288,SWZ,83.15461731,2000,male,adult
289,SWZ,83.90014648,2010,male,adult
290,SWZ,88.2875824,2018,male,adult
291,ETH,35.98252869,1994,male,adult
292,ETH,50,2004,male,adult
293,ETH,41.9366188,2005,male,adult
294,ETH,49.13465881,2007,male,adult
295,ETH,59.24145889,2017,male,adult
296,GAB,79.44418335,1993,male,adult
297,GAB,84.87329865,2012,male,adult
298,GAB,85.85234833,2018,male,adult
299,GMB,48.98115158,2000,male,adult
300,GMB,51.41804123,2013,male,adult
301,GMB,61.76725006,2015,male,adult
302,GEO,99.76898193,2002,male,adult
303,GEO,99.66821289,2014,male,adult
304,GEO,99.43752289,2017,male,adult
305,GEO,99.68112183,2019,male,adult
306,GHA,66.35128021,2000,male,adult
307,GHA,78.34890747,2010,male,adult
308,GHA,83.52458191,2018,male,adult
309,GRC,96.063797,1981,male,adult
310,GRC,96.03746033,1991,male,adult
311,GRC,97.81121826,2001,male,adult
312,GRC,95.45005798,2005,male,adult
313,GRC,96.15756989,2007,male,adult
314,GRC,96.06622314,2009,male,adult
315,GRC,98.2821579,2011,male,adult
316,GRC,98.50704956,2018,male,adult
317,GRD,98.04715729,1970,male,adult
318,GRD,98.58000183,1984,male,adult
319,GRD,98.58000183,1994,male,adult
320,GRD,98.58000183,2004,male,adult
321,GRD,98.58000183,2014,male,adult
322,GUM,96.38265991,1980,male,adult
323,GUM,99.41710663,1990,male,adult
324,GTM,71.70639038,1994,male,adult
325,GTM,75.41558075,2002,male,adult
326,GTM,84.84873199,2012,male,adult
327,GTM,82.72068024,2013,male,adult
328,GTM,86.75615692,2014,male,adult
329,GTM,85.34117889,2018,male,adult
330,GIN,32.89533997,1996,male,adult
331,GIN,42.9031601,2003,male,adult
332,GIN,36.78979111,2010,male,adult
333,GIN,43.64009094,2014,male,adult
334,GIN,54.43117142,2018,male,adult
335,GNB,33.34894943,1979,male,adult
336,GNB,57.61375046,2000,male,adult
337,GNB,62.15797043,2014,male,adult
338,GUY,82.43656158,2009,male,adult
339,GUY,86.31437683,2014,male,adult
340,HTI,37.12974167,1982,male,adult
341,HTI,63.09001923,2003,male,adult
342,HTI,53.35504913,2006,male,adult
343,HTI,65.27764893,2016,male,adult
344,HND,79.78523254,2001,male,adult
345,HND,83.74603271,2007,male,adult
346,HND,84.78900909,2010,male,adult
347,HND,85.34127808,2011,male,adult
348,HND,85.69619751,2012,male,adult
349,HND,85.66837311,2013,male,adult
350,HND,87.39595032,2014,male,adult
351,HND,87.92208099,2015,male,adult
352,HND,89.04894257,2016,male,adult
353,HND,87.13764191,2018,male,adult
354,HND,88.24963379,2019,male,adult
355,HUN,99.30319214,1980,male,adult
356,HUN,99.16000366,2014,male,adult
357,IND,54.84101868,1981,male,adult
358,IND,61.64191818,1991,male,adult
359,IND,73.4118576,2001,male,adult
360,IND,75.19190216,2006,male,adult
361,IND,78.87722778,2011,male,adult
362,IND,82.36670685,2018,male,adult
363,IDN,77.47499847,1980,male,adult
364,IDN,88.02452087,1990,male,adult
365,IDN,94.03507996,2004,male,adult
366,IDN,95.15853882,2006,male,adult
367,IDN,95.38318634,2008,male,adult
368,IDN,95.6470108,2009,male,adult
369,IDN,95.59108734,2011,male,adult
370,IDN,96.791008,2014,male,adult
371,IDN,97.10652161,2015,male,adult
372,IDN,97.17443848,2016,male,adult
373,IDN,97.33133698,2018,male,adult
374,IDN,97.4493103,2020,male,adult
375,IRN,48.18333054,1976,male,adult
376,IRN,63.09954834,1986,male,adult
377,IRN,74.27448273,1991,male,adult
378,IRN,79.87161255,1996,male,adult
379,IRN,83.5,2002,male,adult
380,IRN,88.01032257,2005,male,adult
381,IRN,87.27218628,2006,male,adult
382,IRN,88.17703247,2008,male,adult
383,IRN,88.87982178,2012,male,adult
