report_id,COUNTRY_CODE,RATE,YEAR,GENDER,AGE,RATIO
1821,TTO,97.0999984741211,2000,female,adult,96.7
1822,TTO,98.30000305175781,2010,female,adult,99.3
1827,TUN,71.08821105957031,2010,female,adult,100
1836,TUR,80.5489501953125,2005,female,adult,100
1840,TUR,88.07317352294922,2010,female,adult,100
1854,UGA,64.5914535522461,2010,female,adult,100
1870,URY,98.49095153808594,2010,female,adult,100
1913,ZMB,77.74664306640625,2010,female,adult,100
1990,BRA,92.65401,2000,male,young,100
1996,BRA,96.71616999999999,2010,male,young,100
2025,CMR,88.42245,2000,male,young,60.9
2027,CMR,85.39748,2010,male,young,92.1
2049,CHN,99.19846,2000,male,young,100
2050,CHN,99.68961999999999,2010,male,young,100
2054,COL,97.51703,2005,male,young,100
2059,COL,97.68271999999999,2010,male,young,100
2068,CRI,97.19749,2000,male,young,100
2072,CIV,70.84071999999999,2000,male,young,58.4
2090,DOM,95.7753,2010,male,young,99.2
2101,ECU,98.46887,2010,male,young,100
2111,EGY,90.07911999999999,2005,male,young,100
2113,EGY,90.55763,2010,male,young,100
2121,SLV,95.66904,2010,male,young,100
2133,SWZ,90.69415,2000,male,young,79.7
2134,SWZ,92.18741999999999,2010,male,young,98.5
2141,GMB,64.34049,2000,male,young,82.3
2145,GHA,75.9459,2000,male,young,81.7
2146,GHA,88.31075,2010,male,young,100
2150,GRC,99.53356,2005,male,young,100
2177,HND,94.44801,2010,male,young,100
2205,IRN,98.10998000000001,2005,male,young,98.6
2211,IRQ,88.91216999999999,2000,male,young,84.2
2220,JOR,98.931,2005,male,young,100
2222,JOR,98.75873,2010,male,young,98.4
2229,KEN,93.30951999999999,2000,male,young,90.4
2236,KWT,99.69097,2005,male,young,100
2240,KWT,99.06282,2010,male,young,100
2256,LSO,84.82558,2000,male,young,96.4
2277,MWI,74.26925,2010,male,young,100
2282,MYS,97.20814,2000,male,young,98
2283,MYS,98.38104,2010,male,young,100
2294,MLI,56.371269999999996,2010,male,young,78.4
2298,MLT,97.45976,2005,male,young,94.5
2304,MUS,93.72184,2000,male,young,100
2308,MEX,96.7512,2000,male,young,99.4
2311,MEX,97.64425,2005,male,young,97.3
2316,MEX,98.37557,2010,male,young,100
2343,MMR,95.7881,2000,male,young,97.5
2356,NIC,85.15562,2005,male,young,100
2358,NER,52.44951999999999,2005,male,young,47.3
2374,PAK,76.65172,2005,male,young,81.4
2378,PAK,79.50414,2010,male,young,90.9
2402,PAN,96.53054,2000,male,young,98.7
2403,PAN,97.93446999999999,2010,male,young,96.4
2410,PRY,98.50034000000001,2010,male,young,92.4
2416,PER,97.92135,2005,male,young,100
2425,PHL,94.45826,2000,male,young,100
2453,RUS,99.66278,2010,male,young,98.4
2499,ZAF,98.38871999999999,2010,male,young,98.5
2508,ESP,99.57169,2005,male,young,100
2512,ESP,99.50676999999999,2010,male,young,100
2523,LKA,97.68654000000001,2010,male,young,98.3
2524,SDN,85.69496,2000,male,young,43.5
2541,THA,98.09989,2000,male,young,94.5
2542,THA,98.21679,2005,male,young,89
2543,THA,96.64255,2010,male,young,88.1
2547,TGO,83.78623,2000,male,young,82.5
2563,TUN,98.21085,2010,male,young,100
2572,TUR,98.36093000000001,2005,male,young,100
2576,TUR,99.21415999999999,2010,male,young,100
2586,UGA,89.63519000000001,2010,male,young,100
2600,URY,98.35943,2010,male,young,100
2630,ZMB,91.19563000000001,2010,male,young,100
2706,BRA,95.71902,2000,female,young,100
2712,BRA,98.31874,2010,female,young,100
2741,CMR,77.96249,2000,female,young,60.9
2743,CMR,76.42093,2010,female,young,92.1
2765,CHN,98.50486,2000,female,young,100
2766,CHN,99.59304,2010,female,young,100
2770,COL,98.37487,2005,female,young,100
2775,COL,98.5172,2010,female,young,100
2784,CRI,98.03841,2000,female,young,100
2788,CIV,52.125170000000004,2000,female,young,58.4
2806,DOM,97.88349000000001,2010,female,young,99.2
2817,ECU,98.8541,2010,female,young,100
2827,EGY,78.94999,2005,female,young,100
2829,EGY,84.30693000000001,2010,female,young,100
2837,SLV,96.38574,2010,female,young,100
2849,SWZ,92.94364,2000,female,young,79.7
2850,SWZ,94.74849,2010,female,young,98.5
2857,GMB,41.39434,2000,female,young,82.3
2861,GHA,65.48871,2000,female,young,81.7
2862,GHA,83.23453,2010,female,young,100
2866,GRC,99.5248,2005,female,young,100
2893,HND,95.8775,2010,female,young,100
2921,IRN,96.73755,2005,female,young,98.6
2927,IRQ,80.48683,2000,female,young,84.2
2936,JOR,99.02348,2005,female,young,100
2938,JOR,98.76635,2010,female,young,98.4
2945,KEN,91.94255,2000,female,young,90.4
2952,KWT,99.78759000000001,2005,female,young,100
2956,KWT,98.71821,2010,female,young,100
2972,LSO,97.49609,2000,female,young,96.4
2993,MWI,69.98174,2010,female,young,100
2998,MYS,97.26772,2000,female,young,98
2999,MYS,98.45826,2010,female,young,100
3010,MLI,33.94571,2010,female,young,78.4
3014,MLT,99.11073,2005,female,young,94.5
3020,MUS,95.3619,2000,female,young,100
3024,MEX,96.48236,2000,female,young,99.4
3027,MEX,97.62793,2005,female,young,97.3
3032,MEX,98.49213,2010,female,young,100
3059,MMR,93.47118,2000,female,young,97.5
3072,NIC,88.84248000000001,2005,female,young,100
3074,NER,23.197429999999997,2005,female,young,47.3
3090,PAK,53.08856,2005,female,young,81.4
3094,PAK,62.29837,2010,female,young,90.9
3118,PAN,95.62273,2000,female,young,98.7
3119,PAN,97.33686999999999,2010,female,young,96.4
3126,PRY,98.72882,2010,female,young,92.4
3132,PER,96.28778,2005,female,young,100
3141,PHL,95.72028,2000,female,young,100
3169,RUS,99.75802,2010,female,young,98.4
3215,ZAF,98.90137,2010,female,young,98.5
3224,ESP,99.50209,2005,female,young,100
3228,ESP,99.68636,2010,female,young,100
3239,LKA,98.58896999999999,2010,female,young,98.3
3240,SDN,72.33138000000001,2000,female,young,43.5
3257,THA,97.84793,2000,female,young,94.5
3258,THA,97.87893000000001,2005,female,young,89
3259,THA,96.55204,2010,female,young,88.1
3263,TGO,63.55485,2000,female,young,82.5
3279,TUN,96.09356,2010,female,young,100
3288,TUR,93.96016,2005,female,young,100
3292,TUR,97.19733000000001,2010,female,young,100
3302,UGA,85.47146,2010,female,young,100
3316,URY,99.22541,2010,female,young,100
3346,ZMB,86.50945,2010,female,young,100
