report_id,country_code,rate,age
215,CIV,60.86066055,adult
216,CIV,51.59267044,adult
217,CIV,50.70190048,adult
218,CIV,93.14134979,adult
219,HRV,98.75705719,adult
220,HRV,99.32058716,adult
221,HRV,99.62970734,adult
222,CUB,99.80731201,adult
223,CUB,99.70606232,adult
224,CYP,97.83058929,adult
225,CYP,98.63104248,adult
226,CYP,99.28614807,adult
227,COD,80.92324066,adult
228,COD,76.91568756,adult
229,COD,87.90838623,adult
230,COD,88.52468872,adult
231,DOM,73.59024811,adult
232,DOM,86.8110199,adult
233,DOM,88.21015167,adult
234,DOM,89.37703705,adult
235,DOM,89.98500824,adult
236,DOM,90.08482361,adult
237,DOM,90.45812988,adult
238,DOM,91.37159729,adult
239,DOM,91.65071106,adult
240,DOM,93.79360199,adult
241,ECU,86.78697205,adult
242,ECU,90.49677277,adult
243,ECU,92.32713318,adult
244,ECU,93.3891983,adult
245,ECU,93.74945068,adult
246,ECU,93.66378021,adult
247,ECU,93.31687164,adult
248,ECU,93.05252075,adult
249,ECU,93.25424194,adult
250,ECU,94.42572784,adult
251,ECU,95.25717163,adult
252,ECU,95.72621918,adult
253,ECU,95.44502258,adult
254,ECU,93.77906036,adult
255,ECU,94.81250763,adult
256,EGY,53.6151886,adult
257,EGY,56.97615814,adult
258,EGY,67.15177917,adult
259,EGY,77.91013336,adult
260,EGY,74.62180328,adult
261,EGY,80.26864624,adult
262,EGY,81.67922211,adult
263,EGY,81.69406128,adult
264,EGY,76.49521637,adult
265,SLV,77.37241364,adult
266,SLV,86.69534302,adult
267,SLV,84.86406708,adult
268,SLV,87.05467987,adult
269,SLV,86.82521057,adult
270,SLV,87.09970093,adult
271,SLV,88.39164734,adult
272,SLV,89.23500824,adult
273,SLV,90.0099411,adult
274,SLV,90.29927063,adult
275,SLV,90.63137817,adult
276,SLV,91.1023407,adult
277,SLV,91.30619812,adult
278,GNQ,94.84261322,adult
279,GNQ,97.18399811,adult
280,ERI,65.39012146,adult
281,ERI,75.07241058,adult
282,ERI,84.37323761,adult
283,EST,99.87597656,adult
284,EST,99.77594757,adult
285,EST,99.85897827,adult
286,SWZ,57.38439178,adult
287,SWZ,69.68347168,adult
288,SWZ,83.15461731,adult
289,SWZ,83.90014648,adult
290,SWZ,88.2875824,adult
291,ETH,35.98252869,adult
292,ETH,50,adult
293,ETH,41.9366188,adult
294,ETH,49.13465881,adult
295,ETH,59.24145889,adult
296,GAB,79.44418335,adult
297,GAB,84.87329865,adult
298,GAB,85.85234833,adult
299,GMB,48.98115158,adult
300,GMB,51.41804123,adult
301,GMB,61.76725006,adult
302,GEO,99.76898193,adult
303,GEO,99.66821289,adult
304,GEO,99.43752289,adult
305,GEO,99.68112183,adult
306,GHA,66.35128021,adult
307,GHA,78.34890747,adult
308,GHA,83.52458191,adult
309,GRC,96.063797,adult
310,GRC,96.03746033,adult
311,GRC,97.81121826,adult
312,GRC,95.45005798,adult
313,GRC,96.15756989,adult
314,GRC,96.06622314,adult
315,GRC,98.2821579,adult
316,GRC,98.50704956,adult
317,GRD,98.04715729,adult
318,GRD,98.58000183,adult
319,GRD,98.58000183,adult
320,GRD,98.58000183,adult
321,GRD,98.58000183,adult
322,GUM,96.38265991,adult
323,GUM,99.41710663,adult
324,GTM,71.70639038,adult
325,GTM,75.41558075,adult
326,GTM,84.84873199,adult
327,GTM,82.72068024,adult
328,GTM,86.75615692,adult
329,GTM,85.34117889,adult
330,GIN,32.89533997,adult
331,GIN,42.9031601,adult
332,GIN,36.78979111,adult
333,GIN,43.64009094,adult
334,GIN,54.43117142,adult
335,GNB,33.34894943,adult
336,GNB,57.61375046,adult
337,GNB,62.15797043,adult
338,GUY,82.43656158,adult
339,GUY,86.31437683,adult
340,HTI,37.12974167,adult
341,HTI,63.09001923,adult
342,HTI,53.35504913,adult
343,HTI,65.27764893,adult
344,HND,79.78523254,adult
345,HND,83.74603271,adult
346,HND,84.78900909,adult
347,HND,85.34127808,adult
348,HND,85.69619751,adult
349,HND,85.66837311,adult
350,HND,87.39595032,adult
351,HND,87.92208099,adult
352,HND,89.04894257,adult
353,HND,87.13764191,adult
354,HND,88.24963379,adult
355,HUN,99.30319214,adult
356,HUN,99.16000366,adult
357,IND,54.84101868,adult
358,IND,61.64191818,adult
359,IND,73.4118576,adult
360,IND,75.19190216,adult
361,IND,78.87722778,adult
362,IND,82.36670685,adult
363,IDN,77.47499847,adult
364,IDN,88.02452087,adult
365,IDN,94.03507996,adult
366,IDN,95.15853882,adult
367,IDN,95.38318634,adult
368,IDN,95.6470108,adult
369,IDN,95.59108734,adult
370,IDN,96.791008,adult
371,IDN,97.10652161,adult
372,IDN,97.17443848,adult
373,IDN,97.33133698,adult
374,IDN,97.4493103,adult
375,IRN,48.18333054,adult
376,IRN,63.09954834,adult
377,IRN,74.27448273,adult
378,IRN,79.87161255,adult
379,IRN,83.5,adult
380,IRN,88.01032257,adult
381,IRN,87.27218628,adult
382,IRN,88.17703247,adult
383,IRN,88.87982178,adult
384,IRN,89.54248047,adult
385,IRN,89.63542175,adult
386,IRN,90.35240936,adult
387,IRQ,84.08740997,adult
388,IRQ,85.90000153,adult
389,IRQ,81.40000153,adult
390,IRQ,90,adult
391,IRQ,90,adult
392,IRQ,91.19999695,adult
393,ISR,94.96340179,adult
394,ITA,97.46465302,adult
395,ITA,98.82369232,adult
396,ITA,99.14100647,adult
397,ITA,99.35344696,adult
398,JAM,74.08184052,adult
399,JAM,83.44000244,adult
400,JOR,80.48261261,adult
401,JOR,95.08450317,adult
402,JOR,95.17645264,adult
403,JOR,95.49455261,adult
404,JOR,95.76724243,adult
405,JOR,97.74835968,adult
406,JOR,98.44455719,adult
407,JOR,98.61421204,adult
408,KAZ,99.07195282,adult
409,KAZ,99.76329803,adult
410,KAZ,99.78624725,adult
411,KAZ,99.8296814,adult
412,KAZ,99.8296814,adult
413,KEN,87.49465942,adult
414,KEN,78.07914734,adult
415,KEN,83.7780304,adult
416,KEN,84.98883057,adult
417,KWT,68.02863312,adult
418,KWT,72.78765106,adult
419,KWT,78.19730377,adult
420,KWT,81.12094879,adult
421,KWT,94.44603729,adult
422,KWT,94.52522278,adult
423,KWT,94.79457855,adult
424,KWT,95.01587677,adult
425,KWT,95.54531097,adult
426,KWT,95.83972168,adult
427,KWT,96.35418701,adult
428,KWT,96.39225006,adult
429,KWT,96.69714355,adult
430,KWT,96.66645813,adult
431,KWT,97.05384827,adult
432,KGZ,99.30670929,adult
433,KGZ,99.5187912,adult
434,KGZ,99.67700958,adult
435,LAO,73.48625183,adult
436,LAO,81.36018372,adult
437,LAO,77.00605774,adult
438,LAO,82.45175171,adult
439,LAO,67.35858154,adult
440,LAO,89.96128082,adult
441,LVA,99.7543335,adult
442,LVA,99.79334259,adult
443,LVA,99.88110352,adult
444,LVA,99.86837006,adult
445,LBN,93.37893677,adult
446,LBN,94.27194977,adult
447,LBN,96.85466003,adult
448,LSO,79.99578094,adult
449,LSO,65.5219574,adult
450,LSO,67.74746704,adult
451,LBR,44.87931824,adult
452,LBR,60.77481079,adult
453,LBR,62.69655991,adult
454,LBY,76.99263,adult
455,LBY,87.72000122,adult
456,LBY,93.84999847,adult
457,LTU,99.20681,adult
458,LTU,99.64315033,adult
459,LTU,99.79418945,adult
460,MAC,92.80967712,adult
461,MAC,95.27620697,adult
462,MAC,96.46999359,adult
463,MAC,97.75128937,adult
464,MAC,98.18592072,adult
465,MDG,76.53832245,adult
466,MDG,63.34706879,adult
467,MDG,67.41731262,adult
468,MDG,75.02886963,adult
469,MDG,78.37828064,adult
470,MWI,65.27950287,adult
471,MWI,74.92640686,adult
472,MWI,72.09764862,adult
473,MWI,75.97926331,adult
474,MWI,69.75396729,adult
475,MYS,78.14633179,adult
476,MYS,88.56298828,adult
477,MYS,91.96923828,adult
478,MYS,95.43374634,adult
479,MYS,96.29699707,adult
480,MYS,96.49912262,adult
481,MYS,96.12304688,adult
482,MYS,96.21800232,adult
483,MDV,82.40484619,adult
484,MDV,92.11401367,adult
485,MDV,95.89713287,adult
486,MDV,96.21227264,adult
487,MDV,98.36569214,adult
488,MDV,98.52033997,adult
489,MDV,97.29892731,adult
490,MLI,13.51292038,adult
491,MLI,26.73296928,adult
492,MLI,32.70000076,adult
493,MLI,34.85789108,adult
494,MLI,43.40063095,adult
495,MLI,43.52046967,adult
496,MLI,45.06592178,adult
497,MLI,46.18413925,adult
498,MLI,40.43405151,adult
499,MLT,86.55354309,adult
500,MLT,86.43028259,adult
501,MLT,91.18657684,adult
502,MLT,91.79264832,adult
503,MLT,93.00997162,adult
504,MHL,98.3250885,adult
505,MRT,59.54032898,adult
506,MRT,57.4043808,adult
507,MRT,67.95720673,adult
508,MRT,63.74855042,adult
509,MUS,85.14575195,adult
510,MUS,88.2278595,adult
511,MUS,91.95172119,adult
