report_id,country_code,rate,gender
230,COD,88.52468872,male
231,DOM,73.59024811,male
232,DOM,86.8110199,male
233,DOM,88.21015167,male
234,DOM,89.37703705,male
235,DOM,89.98500824,male
236,DOM,90.08482361,male
237,DOM,90.45812988,male
238,DOM,91.37159729,male
239,DOM,91.65071106,male
240,DOM,93.79360199,male
241,ECU,86.78697205,male
242,ECU,90.49677277,male
243,ECU,92.32713318,male
244,ECU,93.3891983,male
245,ECU,93.74945068,male
246,ECU,93.66378021,male
247,ECU,93.31687164,male
248,ECU,93.05252075,male
249,ECU,93.25424194,male
250,ECU,94.42572784,male
251,ECU,95.25717163,male
252,ECU,95.72621918,male
253,ECU,95.44502258,male
254,ECU,93.77906036,male
255,ECU,94.81250763,male
256,EGY,53.6151886,male
257,EGY,56.97615814,male
258,EGY,67.15177917,male
259,EGY,77.91013336,male
260,EGY,74.62180328,male
261,EGY,80.26864624,male
262,EGY,81.67922211,male
263,EGY,81.69406128,male
264,EGY,76.49521637,male
265,SLV,77.37241364,male
266,SLV,86.69534302,male
267,SLV,84.86406708,male
268,SLV,87.05467987,male
269,SLV,86.82521057,male
270,SLV,87.09970093,male
271,SLV,88.39164734,male
272,SLV,89.23500824,male
273,SLV,90.0099411,male
274,SLV,90.29927063,male
275,SLV,90.63137817,male
276,SLV,91.1023407,male
277,SLV,91.30619812,male
278,GNQ,94.84261322,male
279,GNQ,97.18399811,male
280,ERI,65.39012146,male
281,ERI,75.07241058,male
282,ERI,84.37323761,male
283,EST,99.87597656,male
284,EST,99.77594757,male
285,EST,99.85897827,male
286,SWZ,57.38439178,male
287,SWZ,69.68347168,male
288,SWZ,83.15461731,male
289,SWZ,83.90014648,male
290,SWZ,88.2875824,male
291,ETH,35.98252869,male
292,ETH,50,male
293,ETH,41.9366188,male
294,ETH,49.13465881,male
295,ETH,59.24145889,male
296,GAB,79.44418335,male
297,GAB,84.87329865,male
298,GAB,85.85234833,male
299,GMB,48.98115158,male
300,GMB,51.41804123,male
301,GMB,61.76725006,male
302,GEO,99.76898193,male
303,GEO,99.66821289,male
304,GEO,99.43752289,male
305,GEO,99.68112183,male
306,GHA,66.35128021,male
307,GHA,78.34890747,male
308,GHA,83.52458191,male
309,GRC,96.063797,male
310,GRC,96.03746033,male
311,GRC,97.81121826,male
312,GRC,95.45005798,male
313,GRC,96.15756989,male
314,GRC,96.06622314,male
315,GRC,98.2821579,male
316,GRC,98.50704956,male
317,GRD,98.04715729,male
318,GRD,98.58000183,male
319,GRD,98.58000183,male
320,GRD,98.58000183,male
321,GRD,98.58000183,male
322,GUM,96.38265991,male
323,GUM,99.41710663,male
324,GTM,71.70639038,male
325,GTM,75.41558075,male
326,GTM,84.84873199,male
327,GTM,82.72068024,male
328,GTM,86.75615692,male
329,GTM,85.34117889,male
330,GIN,32.89533997,male
331,GIN,42.9031601,male
332,GIN,36.78979111,male
333,GIN,43.64009094,male
334,GIN,54.43117142,male
335,GNB,33.34894943,male
336,GNB,57.61375046,male
337,GNB,62.15797043,male
338,GUY,82.43656158,male
339,GUY,86.31437683,male
340,HTI,37.12974167,male
341,HTI,63.09001923,male
342,HTI,53.35504913,male
343,HTI,65.27764893,male
344,HND,79.78523254,male
345,HND,83.74603271,male
346,HND,84.78900909,male
347,HND,85.34127808,male
348,HND,85.69619751,male
349,HND,85.66837311,male
350,HND,87.39595032,male
351,HND,87.92208099,male
352,HND,89.04894257,male
353,HND,87.13764191,male
354,HND,88.24963379,male
355,HUN,99.30319214,male
356,HUN,99.16000366,male
357,IND,54.84101868,male
358,IND,61.64191818,male
359,IND,73.4118576,male
360,IND,75.19190216,male
361,IND,78.87722778,male
362,IND,82.36670685,male
363,IDN,77.47499847,male
364,IDN,88.02452087,male
365,IDN,94.03507996,male
366,IDN,95.15853882,male
367,IDN,95.38318634,male
368,IDN,95.6470108,male
369,IDN,95.59108734,male
370,IDN,96.791008,male
371,IDN,97.10652161,male
372,IDN,97.17443848,male
373,IDN,97.33133698,male
374,IDN,97.4493103,male
375,IRN,48.18333054,male
376,IRN,63.09954834,male
377,IRN,74.27448273,male
378,IRN,79.87161255,male
379,IRN,83.5,male
380,IRN,88.01032257,male
381,IRN,87.27218628,male
382,IRN,88.17703247,male
383,IRN,88.87982178,male
384,IRN,89.54248047,male
385,IRN,89.63542175,male
386,IRN,90.35240936,male
387,IRQ,84.08740997,male
388,IRQ,85.90000153,male
389,IRQ,81.40000153,male
390,IRQ,90,male
391,IRQ,90,male
392,IRQ,91.19999695,male
393,ISR,94.96340179,male
394,ITA,97.46465302,male
395,ITA,98.82369232,male
396,ITA,99.14100647,male
397,ITA,99.35344696,male
398,JAM,74.08184052,male
399,JAM,83.44000244,male
400,JOR,80.48261261,male
401,JOR,95.08450317,male
402,JOR,95.17645264,male
403,JOR,95.49455261,male
404,JOR,95.76724243,male
405,JOR,97.74835968,male
406,JOR,98.44455719,male
407,JOR,98.61421204,male
408,KAZ,99.07195282,male
409,KAZ,99.76329803,male
410,KAZ,99.78624725,male
411,KAZ,99.8296814,male
412,KAZ,99.8296814,male
